year,month,present_count,missing_count,missing_sites
2014,1,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,1,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,2,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,3,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,4,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,5,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,6,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,7,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,8,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,9,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2014,10,8,1,['1319:WA:SNTL']
2014,11,8,1,['1319:WA:SNTL']
2014,12,8,1,['1319:WA:SNTL']
2015,1,8,1,['1319:WA:SNTL']
2015,2,8,1,['1319:WA:SNTL']
2015,3,8,1,['1319:WA:SNTL']
2015,4,8,1,['1319:WA:SNTL']
2015,5,8,1,['1319:WA:SNTL']
2015,6,8,1,['1319:WA:SNTL']
2015,7,8,1,['1319:WA:SNTL']
2015,8,8,1,['1319:WA:SNTL']
2015,9,8,1,['1319:WA:SNTL']
2015,10,8,1,['1319:WA:SNTL']
2015,11,8,1,['1319:WA:SNTL']
2015,12,8,1,['1319:WA:SNTL']
2016,12,7,2,"['1319:WA:SNTL', '990:WA:SNTL']"
2017,1,6,3,"['1319:WA:SNTL', '990:WA:SNTL', '998:WA:SNTL']"
2017,3,6,3,"['1319:WA:SNTL', '990:WA:SNTL', '998:WA:SNTL']"
2017,7,5,4,"['1319:WA:SNTL', '817:WA:SNTL', '990:WA:SNTL', '998:WA:SNTL']"
2017,8,5,4,"['1319:WA:SNTL', '817:WA:SNTL', '990:WA:SNTL', '998:WA:SNTL']"
2017,9,5,4,"['1319:WA:SNTL', '817:WA:SNTL', '990:WA:SNTL', '998:WA:SNTL']"
2017,10,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2017,11,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2017,12,7,2,"['1319:WA:SNTL', '998:WA:SNTL']"
2018,1,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,2,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,3,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,4,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,5,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,6,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,8,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,10,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,11,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2018,12,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,1,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,2,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,5,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,7,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,8,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,9,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,10,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,11,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2019,12,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,1,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,2,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,3,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,4,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,5,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,6,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2020,7,5,4,"['1080:WA:SNTL', '1319:WA:SNTL', '991:WA:SNTL', '998:WA:SNTL']"
2020,8,5,4,"['1080:WA:SNTL', '1319:WA:SNTL', '991:WA:SNTL', '998:WA:SNTL']"
2020,9,5,4,"['1080:WA:SNTL', '1319:WA:SNTL', '991:WA:SNTL', '998:WA:SNTL']"
2020,10,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2020,11,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2020,12,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,1,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,2,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,3,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,4,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,5,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,6,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,7,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,9,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,10,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,11,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2021,12,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,1,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,2,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,3,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,4,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,5,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,6,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,7,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,8,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,9,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2022,10,9,0,[]
2022,11,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2023,1,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2023,2,7,2,"['1080:WA:SNTL', '998:WA:SNTL']"
2023,3,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2023,4,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2023,5,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2023,6,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2023,7,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2023,8,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
2023,9,6,3,"['1080:WA:SNTL', '1319:WA:SNTL', '998:WA:SNTL']"
