Model ID,Variables ID,Simulation Name,Climate Model,Emission Scenario,Downscaling Method,Ref. Met. Focring,Variables Name,Year,Download Links
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1980,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1980.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1981,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1981.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1982,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1982.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1983,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1983.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1984,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1984.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1985,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1985.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1986,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1986.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1987,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1987.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1988,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1988.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1989,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1989.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1990,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1990.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1991,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1991.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1992,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1992.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1993,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1993.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1994,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1994.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1995,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1995.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1996,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1996.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1997,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1997.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1998,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1998.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),1999,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_1999.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2000,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2000.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2001,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2001.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2002,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2002.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2003,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2003.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2004,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2004.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2005,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2005.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2006,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2006.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2007,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2007.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2008,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2008.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2009,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2009.nc
DaymetV4,prcp,Daymet control run,-,-,-,Daymet,Precipitation (prcp),2010,https://hydrosource2.ornl.gov/files/SWA9505V3/DaymetV4/prcp/DaymetV4_VIC4_prcp_2010.nc
